KPROJ,W,M,PROBES,AvgRecall,AvgAF,QPS,OutFile
11,45,1000,100,0.340000,1.100792,548.714910,runs/hypercube_mnist/run_k11_w45_m1000_p100.txt
11,45,1000,500,0.340000,1.100792,577.347205,runs/hypercube_mnist/run_k11_w45_m1000_p500.txt
11,45,1000,800,0.340000,1.100792,579.287014,runs/hypercube_mnist/run_k11_w45_m1000_p800.txt
11,45,2000,1,0.110000,1.297788,4266.029606,runs/hypercube_mnist/run_k11_w45_m2000_p1.txt
11,45,2000,2,0.120000,1.271085,1968.348949,runs/hypercube_mnist/run_k11_w45_m2000_p2.txt
11,45,2000,5,0.150000,1.197396,1387.751703,runs/hypercube_mnist/run_k11_w45_m2000_p5.txt
11,45,2000,10,0.320000,1.122648,695.255576,runs/hypercube_mnist/run_k11_w45_m2000_p10.txt
11,45,2000,50,0.490000,1.067102,333.768345,runs/hypercube_mnist/run_k11_w45_m2000_p50.txt
11,45,2000,100,0.530000,1.057453,298.038608,runs/hypercube_mnist/run_k11_w45_m2000_p100.txt
11,45,2000,500,0.530000,1.057322,288.566976,runs/hypercube_mnist/run_k11_w45_m2000_p500.txt
11,45,2000,800,0.530000,1.057322,290.311155,runs/hypercube_mnist/run_k11_w45_m2000_p800.txt
11,45,4000,1,0.110000,1.297788,4688.452342,runs/hypercube_mnist/run_k11_w45_m4000_p1.txt
11,45,4000,2,0.120000,1.271085,2840.505610,runs/hypercube_mnist/run_k11_w45_m4000_p2.txt
11,45,4000,5,0.150000,1.197396,1291.138914,runs/hypercube_mnist/run_k11_w45_m4000_p5.txt
11,45,4000,10,0.320000,1.122474,639.202276,runs/hypercube_mnist/run_k11_w45_m4000_p10.txt
11,45,4000,50,0.580000,1.050501,170.895767,runs/hypercube_mnist/run_k11_w45_m4000_p50.txt
11,45,4000,100,0.680000,1.030943,153.072080,runs/hypercube_mnist/run_k11_w45_m4000_p100.txt
11,45,4000,500,0.690000,1.027981,131.163195,runs/hypercube_mnist/run_k11_w45_m4000_p500.txt
11,45,4000,800,0.690000,1.027981,136.205081,runs/hypercube_mnist/run_k11_w45_m4000_p800.txt
11,45,8000,1,0.110000,1.297788,3633.985028,runs/hypercube_mnist/run_k11_w45_m8000_p1.txt
11,45,8000,2,0.120000,1.271085,2719.978240,runs/hypercube_mnist/run_k11_w45_m8000_p2.txt
11,45,8000,5,0.150000,1.197396,1403.154291,runs/hypercube_mnist/run_k11_w45_m8000_p5.txt
11,45,8000,10,0.320000,1.122474,675.356250,runs/hypercube_mnist/run_k11_w45_m8000_p10.txt
11,45,8000,50,0.600000,1.049371,185.647930,runs/hypercube_mnist/run_k11_w45_m8000_p50.txt
11,45,8000,100,0.720000,1.024301,110.237418,runs/hypercube_mnist/run_k11_w45_m8000_p100.txt
11,45,8000,500,0.800000,1.014639,72.431961,runs/hypercube_mnist/run_k11_w45_m8000_p500.txt
11,45,8000,800,0.800000,1.014639,72.756111,runs/hypercube_mnist/run_k11_w45_m8000_p800.txt
11,50,10,1,0.010000,inf,30525.030525,runs/hypercube_mnist/run_k11_w50_m10_p1.txt
11,50,10,2,0.010000,1.634173,24582.104228,runs/hypercube_mnist/run_k11_w50_m10_p2.txt
